date,desc,amount,cat,Debits and credits,Balance
19/6/20,Transfer to Amelia goldsmith BSB 012030 Account 222911344 RCPT: 3XBRY5VMFQFVRTDH Cafe paci,-125.0,Personal - Skye,($125.00),"$7,616.82 "
19/6/20,Transfer to Jenny Berlin BSB 065140 Account 010110463 RCPT: 3XRKPFVZQC9FXBTF Skye,-339.0,Personal - Skye,($339.00),"$7,741.82 "
19/6/20,Purchase BWS LIQUOR 3103 MOE VI,-166.0,Personal - Family,($166.00),"$8,080.82 "
19/6/20,Purchase SEAKAT PTY LTD DOCKLANDS,-19.5,Expense - Travel,($19.50),"$8,246.82 "
19/6/20,Purchase SKYBUS COACH SERVICE MELBOURNE AIR,-19.75,Expense - Travel,($19.75),"$8,266.32 "
19/6/20,Purchase Cook Archies Surry Hills NSW,-16.24,Personal - Skye,($16.24),"$8,286.07 "
19/6/20,Purchase PAYPAL *INCUPTYLTD 4029357733 AUS,-200.0,Personal - Skye,($200.00),"$8,302.31 "
,END SECTION,,,,
18/6/20,Purchase KIKARSE WORKWEAR PTY L WATERLOO AUS,-15.0,Personal,($15.00),"$8,502.31 "
18/6/20,Purchase Soul Origin T2 Mascot NSW,-8.0,Expense - Travel,($8.00),"$8,517.31 "
18/6/20,Purchase BLACKSMITHS SURRY HI SURRY HILLS NSW,-4.0,Personal - Skye,($4.00),"$8,525.31 "
17/6/20,Direct credit dishonour to Ming Wang Cleaner RCPT: 3XND3G65F967,90.0,Expense - Cleaners,$90.00 ,"$8,529.31 "
17/6/20,Purchase KOA 001 CHIPPENDALE NSW,-19.9,Personal - Skye,($19.90),"$8,439.31 "
17/6/20,Purchase WOOLWORTHS 1474 REDFERN NS,-102.59,Personal - Groceries,($102.59),"$8,459.21 "
17/6/20,Purchase BLACKSMITHS SURRY HI SURRY HILLS NSW,-4.0,Personal - Skye,($4.00),"$8,561.80 "
16/6/20,Transfer to Ming Wang BSB 112879 Account 120116307 RCPT: 3XMRRDSZFHX2PSPF 48 Douglas St,-90.0,Expense - Cleaners,($90.00),"$8,565.80 "
16/6/20,Purchase WOOLWORTHS 1474 REDFERN NS,-34.98,Personal - Groceries,($34.98),"$8,655.80 "
16/6/20,Purchase THREE WILLIAMS REDFERN NSW,-8.19,Expense - Meeting,($8.19),"$8,690.78 "
16/6/20,Purchase ABDULS RESTAURANT SURRY HILLS NSW,-13.5,Personal - Lunch,($13.50),"$8,698.97 "
16/6/20,Purchase Nama - Surry Hills Surry Hills NSW,-16.5,Personal - Skye,($16.50),"$8,712.47 "
15/6/20,Purchase LORD DUDLEY HOTEL Woollahra NSW,-15.84,Personal - Drinking Out,($15.84),"$8,728.97 "
15/6/20,Purchase LORD DUDLEY HOTEL Woollahra NSW,-17.15,Personal - Drinking Out,($17.15),"$8,744.81 "
15/6/20,Purchase GLADSTONE PARK BOWLI BALMAIN,-19.7,Personal - Family,($19.70),"$8,761.96 "
15/6/20,Purchase TAKTHAIFOOD LILYFIELD,-8.0,Personal - Family,($8.00),"$8,781.66 "
15/6/20,Purchase TAKTHAIFOOD LILYFIELD,-60.4,Personal - Family,($60.40),"$8,789.66 "
15/6/20,Transfer to Synergy fitness BSB 062692 Account 035152617 RCPT: 3X9ZPBJM94L42FXN Skye,-24.0,Personal - Skye,($24.00),"$8,850.06 "
15/6/20,Transfer to Skye BSB 084402 Account 544479080 RCPT: 3XMN8VSMQB339Z42,-200.0,Personal - Skye,($200.00),"$8,874.06 "
14/6/20,Purchase WOOLWORTHS 1474 REDFERN NS,-67.89,Personal - Groceries,($67.89),"$9,074.06 "
14/6/20,Purchase JETSTAR MELBOURNE,-317.39,Expense - Travel,($317.39),"$9,141.95 "
14/6/20,Purchase 3 Ronin Chippendale AU,-8.2,Personal - Eating Out,($8.20),"$9,459.34 "
14/6/20,Purchase Kyo-To Spice Alley Chippendale AU,-22.8,Personal - Eating Out,($22.80),"$9,467.54 "
14/6/20,Purchase SpiceAlley Hong KongD Chippendale AU,-10.8,Personal - Eating Out,($10.80),"$9,490.34 "
14/6/20,Purchase SpiceAlley Hong KongD Chippendale AU,-19.6,Personal - Eating Out,($19.60),"$9,501.14 "
14/6/20,Purchase Something for Jess Chippendale AU,-5.3,Personal - Coffee,($5.30),"$9,520.74 "
14/6/20,Purchase Something for Jess Chippendale AU,-10.6,Personal - Coffee,($10.60),"$9,526.04 "
13/6/20,Transfer to Ming Wang Cleaner BSB 112879 Account 220116307 RCPT: 3XND3G65F967RQPR 48 Douglas St Redfern,-90.0,Expense - Cleaners,($90.00),"$9,536.64 "
13/6/20,Purchase Field Blend Wine Stor Balmain AU,-109.4,Personal - Alcohol,($109.40),"$9,626.64 "
13/6/20,Purchase Little M Balmain AU,-13.4,Personal - Coffee,($13.40),"$9,736.04 "
13/6/20,Purchase The Noble Hops Redfern NSW,-24.0,Personal - Alcohol,($24.00),"$9,749.44 "
13/6/20,Purchase The Noble Hops Redfern NSW,-36.0,Personal - Alcohol,($36.00),"$9,773.44 "
13/6/20,Purchase COPPOLA PIZZA REFERN NSW,-119.0,Personal - Entertainment,($119.00),"$9,809.44 "
12/6/20,Purchase SPAR REDFERN REDFERN,-79.58,Personal - Groceries,($79.58),"$9,928.44 "
12/6/20,Purchase Fountain Cafe Alexandria AU,-21.1,Expense - Office Supplies,($21.10),"$10,008.02 "
11/6/20,Purchase Redfern Station MC Redfern NSW,-25.0,Personal - Health & Wellbeing,($25.00),"$10,029.12 "
11/6/20,Purchase BLOODHOUND DARLINGHQPS DARLINGHURST,-4.56,Personal - Skye,($4.56),"$10,054.12 "
10/6/20,Purchase CHINESE NTH DUMPLING ALEXANDRIA NSW,-70.9,Personal - Eating Out,($70.90),"$10,058.68 "
10/6/20,Purchase GOLD CROSS PHARMACY REDFERN NSW,-36.9,Personal - Health & Wellbeing,($36.90),"$10,129.58 "
9/6/20,BPAY Payment - BPAY Ext GenClr BILLER: 49551 CRN: 4724373520150622 RCPT: MEB202006094428002618,-5000.0,Account Transfer - Virgin Money,"($5,000.00)","$10,166.48 "
8/6/20,Purchase BRICKFIELDS Chippendale AU,-8.63,Personal - Eating Out,($8.63),"$15,166.48 "
8/6/20,Purchase DISNEY PLUS RICHMOND SA,-8.99,Expense - Subscriptions & Software Licences,($8.99),"$15,175.11 "
8/6/20,Purchase The Greenhouse Centennial Pa NSW,-19.0,Personal - Coffee,($19.00),"$15,184.10 "
8/6/20,Purchase A.R.C WINES FERNDALE VIC,-211.2,Personal - Alcohol,($211.20),"$15,203.10 "
6/6/20,Purchase AUST WINE SELE NEWCASTLE NSW,-214.99,Personal - Alcohol,($214.99),"$15,414.30 "
6/6/20,Purchase GOOGLE*GOOGLE SYDNEY AUS,-6.99,Expense - Subscriptions & Software Licences,($6.99),"$15,629.29 "
6/6/20,DISNEY PLUS RICHMOND AUS,-8.99,Expense - Subscriptions & Software Licences,($8.99),0
5/6/20,Purchase WOOLWORTHS 1474 REDFERN NS,-17.93,Personal - Groceries,($17.93),"$15,636.28 "
5/6/20,Purchase ZAMBRERO - OXFORD ST DARLINGHURST NSW,-18.9,Personal - Lunch,($18.90),"$15,654.21 "
5/6/20,Purchase Fountain St General Alexandria NSW,-85.0,Personal - Health & Wellbeing,($85.00),"$15,673.11 "
5/6/20,Purchase BLOODHOUND DARLINGHQPS DARLINGHURST,-4.56,Personal - Coffee,($4.56),"$15,758.11 "
5/6/20,Purchase PAYPAL *MICROSOFT MICR 4029357733 AUS,-13.0,Expense - Subscriptions & Software Licences,($13.00),"$15,762.67 "
4/6/20,Purchase WOOLWORTHS 1474 REDFERN NS,-28.91,Personal - Groceries,($28.91),"$15,775.67 "
4/6/20,Purchase Chainsmith Surry Hills NSW,-405.0,Expense - Travel,($405.00),"$15,804.58 "
4/6/20,Purchase NECTR NORTH SYDNEY NSW,-136.88,Expense - Utilities,($136.88),"$16,209.58 "
4/6/20,Purchase Fountain Cafe Alexandria AU,-12.0,Expense - Office Supplies,($12.00),"$16,346.46 "
2/6/20,Purchase THREE WILLIAMS REDFERN NSW,-5.15,Expense - Meeting,($5.15),"$16,358.46 "
2/6/20,Purchase APPLE.COMBILL SYDNEY NSW,-1.49,Expense - Subscriptions & Software Licences,($1.49),"$16,363.61 "
2/6/20,Purchase WOOLWORTHS 1474 REDFERN NSW,-50.52,Personal - Groceries,($50.52),"$16,365.10 "
2/6/20,Purchase WOOLWORTHS 1474 REDFERN NSW,-43.06,Personal - Groceries,($43.06),"$16,415.62 "
2/6/20,Purchase WOOLWORTHS 1474 REDFERN NSW,-6.7,Personal - Groceries,($6.70),"$16,458.68 "
1/6/20,Purchase ALDI STORES - WATERLOO WATERLOO,-250.75,Personal - Groceries,($250.75),"$16,465.38 "
30/5/20,Purchase WOOLWORTHS 1474 REDFERN NSW,-34.4,Personal - Groceries,($34.40),"$16,716.13 "
30/5/20,Purchase WOOLWORTHS 1474 REDFERN NSW,-20.0,Personal - Groceries,($20.00),"$16,750.53 "
30/5/20,Purchase SMP*Kennys Pork Rolls Darlinghurst AUS,-14.14,Personal - Lunch,($14.14),"$16,770.53 "
30/5/20,Purchase BLOODHOUND DARLINGHQPS DARLINGHURST,-5.07,Personal - Skye,($5.07),"$16,784.67 "
30/5/20,Purchase ALDI STORES - DARLINGH DARLINGHURST,-18.05,Personal - Groceries,($18.05),"$16,789.74 "
29/5/20,ATM withdrawal REDFERN OS REDFERN,-300.0,Personal - Cash Out,($300.00),"$16,807.79 "
29/5/20,Purchase BLOODHOUND DARLINGHQPS DARLINGHURST,-4.56,Personal - Skye,($4.56),"$17,107.79 "
28/5/20,Direct debit to Telstra DDebit,-119.0,Expense - Utilities,($119.00),"$17,112.35 "
28/5/20,Purchase WOOLWORTHS 1486 EAST SYDNEY NSW,-44.0,Personal - Groceries,($44.00),"$17,231.35 "
28/5/20,Purchase DUMPLING NOODLE Darlinghurst NSW,-19.08,Personal - Lunch,($19.08),"$17,275.35 "
28/5/20,Purchase NOODLE BAY DARLINGHURST NSW,-21.8,Personal - Lunch,($21.80),"$17,294.43 "
28/5/20,Purchase BLOODHOUND DARLINGHQPS DARLINGHURST,-4.05,Personal - Skye,($4.05),"$17,316.23 "
28/5/20,Purchase Fountain Cafe Alexandria AU,-6.1,Personal - Coffee,($6.10),"$17,320.28 "
27/5/20,Purchase GOLD CROSS PHARMACY REDFERN NSW,-25.9,Personal - Health & Wellbeing,($25.90),"$17,326.38 "
26/5/20,BPAY Payment - BPAY Ext GenClr BILLER: 97410 CRN: 10086881120007 RCPT: MEB202005261737002179,-598.35,Expense - Utilities,($598.35),"$17,352.28 "
26/5/20,Purchase THREE WILLIAMS REDFERN NSW,-3.84,Personal - Coffee,($3.84),"$17,950.63 "
26/5/20,Purchase WOOLWORTHS 1474 REDFERN NSW,-49.03,Personal - Groceries,($49.03),"$17,954.47 "
26/5/20,Purchase SHEEP 8 PTY LIMITED REDFERN NSW,-36.11,Personal - Alcohol,($36.11),"$18,003.50 "
26/5/20,Purchase ABDULS RESTAURANT SURRY HILLS NSW,-13.5,Personal - Lunch,($13.50),"$18,039.61 "
26/5/20,Purchase BAKERS DELIGHT GLEBE GLEBE NSW,-14.7,Personal - Groceries,($14.70),"$18,053.11 "
26/5/20,Purchase WOOLWORTHS 1474 REDFERN NSW,-10.1,Personal - Groceries,($10.10),"$18,067.81 "
25/5/20,Purchase BREADFERN PTY LTD REDFERN,-7.0,Personal - Groceries,($7.00),"$18,077.91 "
25/5/20,Purchase BREADFERN PTY LTD REDFERN,-4.3,Personal - Coffee,($4.30),"$18,084.91 "
25/5/20,Purchase PAYPAL *ADOBESYSTEM 4029357733 AUS,-21.99,Expense - Subscriptions & Software Licences,($21.99),"$18,089.21 "
25/5/20,Purchase 13cabs Sydney Sydney AU,-31.61,Expense - Travel,($31.61),"$18,111.20 "
24/5/20,Purchase Hunters Corner Redfern AU,-31.6,Expense - Office Supplies,($31.60),"$18,142.81 "
24/5/20,Purchase reversal Hunters Corner Redfern AU,31.6,Expense - Office Supplies,$31.60 ,"$18,174.41 "
24/5/20,Purchase CITYOFSYDNEY PARKING SYDNEY,-10.4,Expense - Travel - Parking,($10.40),"$18,142.81 "
24/5/20,Purchase TASTE BAGUETTE BALMA BALMAIN NSW,-36.0,Personal - Jane,($36.00),"$18,153.21 "
24/5/20,Purchase BERTONI PTY LTD QPS BALMAIN,-5.0,Personal - Jane,($5.00),"$18,189.21 "
24/5/20,Purchase Hunters Corner Redfern AU,-31.6,Expense - Office Supplies,($31.60),"$18,194.21 "
23/5/20,Purchase SMP*Kennys Pork Rolls Darlinghurst AUS,-14.14,Personal - Lunch,($14.14),"$18,225.81 "
23/5/20,Purchase WOOLWORTHS 1474 REDFERN NSW,-99.13,Personal - Groceries,($99.13),"$18,239.95 "
22/5/20,Purchase CHEMIST WAREHOUSE BALMAIN AU,-13.98,Personal - Health & Wellbeing,($13.98),"$18,339.08 "
22/5/20,Purchase THREE WILLIAMS REDFERN NSW,-4.35,Personal - Coffee,($4.35),"$18,353.06 "
22/5/20,Purchase WOOLWORTHS 1474 REDFERN NS,-47.55,Personal - Groceries,($47.55),"$18,357.41 "
22/5/20,Purchase Fountain Cafe Alexandria AU,-20.4,Expense - Office Supplies,($20.40),"$18,404.96 "
21/5/20,Transfer to Ariel Schapira BSB 923100 Account 302364772 RCPT: 3XCMGR43H5W7LSDZ Skyez winez,-97.0,Personal - Skye,($97.00),"$18,425.36 "
21/5/20,Purchase GROUNDED 2050 CAFE CAMPERDOWN NSW,-9.0,Personal - Skye,($9.00),"$18,522.36 "
21/5/20,Purchase GROUNDED 2050 CAFE CAMPERDOWN NSW,-9.9,Personal - Skye,($9.90),"$18,531.36 "
21/5/20,Purchase LITTLE FERN AND CO PTY REDFERN,-11.8,Personal - Groceries,($11.80),"$18,541.26 "
20/5/20,Purchase WOOLWORTHS 1474 REDFERN NSW,-4.95,Personal - Groceries,($4.95),"$18,553.06 "
20/5/20,Purchase DAY NIGHT CHEMIST NEWTOWN NSW,-21.95,Personal - Health & Wellbeing,($21.95),"$18,558.01 "
20/5/20,Transfer to TCA electrical BSB 062124 Account 011501963 RCPT: 3X4PBTRSTRC4WQYN 101013,-510.75,Personal - House,($510.75),"$18,579.96 "
19/5/20,Purchase DAN MURPHYS 1879 ALEXANDRIA NSW,-64.95,Personal - Alcohol,($64.95),"$19,090.71 "
19/5/20,Purchase WOOLWORTHS 1474 REDFERN NSW,-23.99,Personal - Groceries,($23.99),"$19,155.66 "
19/5/20,Purchase ABDULS RESTAURANT SURRY HILLS NSW,-13.5,Personal - Lunch,($13.50),"$19,179.65 "
19/5/20,Purchase QE FOODSTORES CAMPERDOWN AU,-18.43,Personal - Coffee,($18.43),"$19,193.15 "
18/5/20,Purchase MASDOR PTY LTD ERSKINEVILLE,-56.6,Expense - Travel,($56.60),"$19,211.58 "
18/5/20,Purchase ALDI STORES - WATERLOO WATERLOO,-150.95,Personal - Groceries,($150.95),"$19,268.18 "
17/5/20,Purchase CHINESE NTH DUMPLING ALEXANDRIA NSW,-152.5,Personal - Entertainment,($152.50),"$19,419.13 "
17/5/20,Purchase GOOGLE*GOOGLE SYDNEY AUS,-6.99,Expense - Subscriptions & Software Licences,($6.99),"$19,571.63 "
16/5/20,Purchase THREE WILLIAMS REDFERN NSW,-4.35,Personal - Coffee,($4.35),"$19,578.62 "
16/5/20,Purchase SMP*Kennys Pork Rolls Darlinghurst AUS,-14.14,Personal - Lunch,($14.14),"$19,582.97 "
15/5/20,Purchase SQ *FLEUR DE FLO Redfern AUS,-65.0,Personal - Family,($65.00),"$19,597.11 "
15/5/20,Purchase TARGET ONLINE 03 AUS,-13.0,Personal - Family,($13.00),"$19,662.11 "
15/5/20,Purchase TARGET ONLINE 03 AUS,-15.0,Personal - Family,($15.00),"$19,675.11 "
14/5/20,Purchase ABDULS RESTAURANT SURRY HILLS NSW,-13.5,Personal - Lunch,($13.50),"$19,690.11 "
14/5/20,Purchase THREE WILLIAMS REDFERN NSW,-4.35,Personal - Coffee,($4.35),"$19,703.61 "
14/5/20,Purchase PAYPAL *PAYPALGIVIN 4029357733 AUS,-1.0,Donation,($1.00),"$19,707.96 "
14/5/20,Purchase PAYPAL *BIKEBUGPTYL 4029357733 AUS,-314.97,Personal,($314.97),"$19,708.96 "
14/5/20,Purchase CHEMIST WAREHOUSE DARLINGHURST AU,-60.4,Personal - Health & Wellbeing,($60.40),"$20,023.93 "
13/5/20,Purchase THREE WILLIAMS REDFERN NSW,-4.85,Personal - Coffee,($4.85),"$20,084.33 "
13/5/20,Purchase WOOLWORTHS 1474 REDFERN NSW,-32.54,Personal - Groceries,($32.54),"$20,089.18 "
13/5/20,Purchase PAYPAL *BIKEBUGPTYL 4029357733 AUS,-219.99,Personal,($219.99),"$20,121.72 "
13/5/20,Purchase FATIMA LEBANESE REST SURRY HILLS NSW,-17.0,Personal - Lunch,($17.00),"$20,341.71 "
12/5/20,Purchase THREE WILLIAMS REDFERN NSW,-4.35,Personal - Coffee,($4.35),"$20,358.71 "
11/5/20,Purchase BREADFERN PTY LTD REDFERN,-23.5,Personal - Family,($23.50),"$20,363.06 "
11/5/20,Purchase ALDI STORES - WATERLOO WATERLOO,-211.7,Personal - Groceries,($211.70),"$20,386.56 "
8/5/20,Purchase ABDULS RESTAURANT SURRY HILLS NSW,-13.5,Personal - Lunch,($13.50),"$20,598.26 "
8/5/20,Purchase SQ *CAFE NOOKIE Redfern AUS,-11.0,Expense - Meeting,($11.00),"$20,611.76 "
8/5/20,Purchase THREE WILLIAMS REDFERN NSW,-4.35,Personal - Coffee,($4.35),"$20,622.76 "
8/5/20,Purchase WOOLWORTHS 1474 REDFERN NSW,-3.0,Personal - Groceries,($3.00),"$20,627.11 "
8/5/20,Purchase DISNEY PLUS RICHMOND SA,-8.99,Expense - Subscriptions & Software Licences,($8.99),"$20,630.11 "
8/5/20,Purchase CR OXFORD ST PADDINGTON NSW,-173.15,Expense - Office Supplies,($173.15),"$20,639.10 "
7/5/20,Purchase AUST WINE SELE NEWCASTLE NSW,-214.99,Personal - Alcohol,($214.99),"$20,812.25 "
5/5/20,Purchase WOOLWORTHS 1474 REDFERN NSW,-26.46,Personal - Groceries,($26.46),"$21,027.24 "
5/5/20,Purchase NECTR NORTH SYDNEY NSW,-173.5,Expense - Utilities,($173.50),"$21,053.70 "
4/5/20,Transfer to Silvia Giraldo BSB 062005 Account 011421567 RCPT: 3XJD8VF877HSYGMX 48 Douglas,-90.0,Expense - Cleaners,($90.00),"$21,227.20 "
4/5/20,Transfer to Skye Healey Ward and Benjamin Al BSB 944600 Account 000359484 RCPT: FT6TDH4BZ6NR84RT tfr home loan from Ben,-5000.0,Account Transfer (Out),"($5,000.00)","$21,317.20 "
4/5/20,Purchase PAYPAL *MICROSOFT MICR 4029357733 AUS,-13.0,Expense - Subscriptions & Software Licences,($13.00),"$26,317.20 "
4/5/20,Purchase ALDI STORES - WATERLOO WATERLOO,-132.45,Personal - Groceries,($132.45),"$26,330.20 "
3/5/20,Purchase The Noble Hops Redfern NSW,-34.0,Personal - Alcohol,($34.00),"$26,462.65 "
2/5/20,Purchase The Noble Hops Redfern NSW,-34.0,Personal - Alcohol,($34.00),"$26,496.65 "
1/5/20,Transfer to Silvia Giraldo BSB 062005 Account 011421567 RCPT: 3XTZHPQQ4K2C9TZW 48 Douglas,-90.0,Personal - Skye,($90.00),"$26,530.65 "
30/4/20,Direct debit to Telstra DDebit,-119.0,Expense - Phone & Internet,($119.00),"$26,620.65 "
30/4/20,Purchase PAYPAL *PAYPALGIVIN 4029357733 AUS,-1.0,Donation,($1.00),"$26,739.65 "
30/4/20,Purchase PAYPAL *JB HI-FI 4029357733 AUS,-399.0,Expense - Office IT,($399.00),"$26,740.65 "
29/4/20,Purchase PAYPAL *SERVICE NSW 4029357733 AUS,-378.66,Expense - Utilities,($378.66),"$27,139.65 "
29/4/20,Purchase AAMI CTP BRISBANE QLD,-462.75,Expense - Utilities,($462.75),"$27,518.31 "
28/4/20,Purchase www.eurodk.com Liepaja LVA (transaction amount 470.12 USD),-741.75,Expense - Office IT,($741.75),"$27,981.06 "
28/4/20,International transaction fees (crossborder fee AUD5.93 + intl fee AUD11.13),-17.06,Fees,($17.06),"$28,722.81 "
28/4/20,Purchase WOOLWORTHS 1474 REDFERN NSW,-80.24,Personal - Groceries,($80.24),"$28,739.87 "
28/4/20,Purchase WOOLWORTHS 1474 REDFERN NSW,-17.7,Personal - Groceries,($17.70),"$28,820.11 "
27/4/20,Purchase BREADFERN PTY LTD REDFERN,-5.5,Personal - Coffee,($5.50),"$28,837.81 "
27/4/20,Purchase BREADFERN PTY LTD REDFERN,-11.9,Personal - Coffee,($11.90),"$28,843.31 "
27/4/20,Purchase ALDI STORES - WATERLOO WATERLOO,-158.14,Personal - Groceries,($158.14),"$28,855.21 "
25/4/20,CEXP RANDWICK FRENCH Randwick 02AU - Your ATM fee refunded by ME,2.5,Fees,$2.50 ,"$29,013.35 "
25/4/20,ATM withdrawal CEXP RANDWICK FRENCH Randwick 02AU,-200.0,Personal - Cash Out,($200.00),"$29,010.85 "
25/4/20,ATM operator fee CEXP RANDWICK FRENCH Randwick 02AU,-2.5,Fees,($2.50),"$29,210.85 "
25/4/20,Purchase The Noble Hops Redfern NSW,-6.0,Personal - Alcohol,($6.00),"$29,213.35 "
25/4/20,Purchase The Noble Hops Redfern NSW,-34.0,Personal - Alcohol,($34.00),"$29,219.35 "
25/4/20,Purchase COPPOLA PIZZA REFERN NSW,-46.0,Personal - Entertainment,($46.00),"$29,253.35 "
24/4/20,Purchase BIKEBUG PTY LTD TEMPE AU,-467.94,Personal - Health & Wellbeing,($467.94),"$29,299.35 "
24/4/20,Purchase PAYPAL *ABORIGINALC 4029357733 AUS,-920.0,Personal - House,($920.00),"$29,767.29 "
24/4/20,Purchase Fountain Cafe Alexandria AU,-21.9,Expense - Office Supplies,($21.90),"$30,687.29 "
23/4/20,Refund NO ISSUES SYDNEY NSW,126.9,Personal - House,$126.90 ,"$30,709.19 "
22/4/20,Purchase CHINESE NTH DUMPLING ALEXANDRIA NSW,-62.1,Personal - Entertainment,($62.10),"$30,582.29 "
20/4/20,Transfer to Silvia Giraldo BSB 062005 Account 011421567 RCPT: 3XVPRXFXGRKM46XZ 48 Douglas,-90.0,Expense - Cleaners,($90.00),"$30,644.39 "
18/4/20,Purchase WOOLWORTHS 1474 REDFERN NSW,-79.85,Personal - Groceries,($79.85),"$30,734.39 "
18/4/20,ATM withdrawal REDFERN OS REDFERN,-100.0,Personal - Cash Out,($100.00),"$30,814.24 "
17/4/20,Purchase ABDULS RESTAURANT SURRY HILLS NSW,-13.5,Personal - Lunch,($13.50),"$30,914.24 "
17/4/20,Purchase ZAMBRERO - OXFORD ST DARLINGHURST NSW,-16.5,Personal - Lunch,($16.50),"$30,927.74 "
17/4/20,Purchase CAMP AUSTRALIA PTY LTD GLEN IRIS VIC,-184.22,Personal - Childcare,($184.22),"$30,944.24 "
16/4/20,Purchase WOOLWORTHS 1474 REDFERN NSW,-57.0,Personal - Groceries,($57.00),"$31,128.46 "
16/4/20,Purchase MICKYS FRUIT VEG P REDFERN NSW,-31.0,Personal - Groceries,($31.00),"$31,185.46 "
15/4/20,Purchase The Greenhouse Centennial Pa NSW,-39.5,Personal - Lunch,($39.50),"$31,216.46 "
15/4/20,Purchase The Greenhouse Centennial Pa NSW,-15.0,Personal - Coffee,($15.00),"$31,255.96 "
15/4/20,Purchase DAN MURPHYS 1879 ALEXANDRIA NSW,-157.98,Personal - Alcohol,($157.98),"$31,270.96 "
15/4/20,Purchase WOOLWORTHS 1474 REDFERN NSW,-17.81,Personal - Groceries,($17.81),"$31,428.94 "
15/4/20,Purchase WOOLWORTHS 1050 ALEXANDRIA NSW,-34.74,Personal - Groceries,($34.74),"$31,446.75 "
